[06-Sep-2018 18:15:43 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:15:45 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:16:20 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:16:22 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:06 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:07 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:08 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:08 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:48 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:50 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:50 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:17:51 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:18:25 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:18:40 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:19:48 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 13
[06-Sep-2018 18:28:59 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 15
[06-Sep-2018 18:29:01 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 15
[06-Sep-2018 18:29:01 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 15
[06-Sep-2018 18:29:02 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 15
[06-Sep-2018 18:29:36 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 26
[06-Sep-2018 18:29:37 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 26
[06-Sep-2018 18:29:56 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 26
[06-Sep-2018 18:29:57 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 26
[06-Sep-2018 18:30:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 26
[06-Sep-2018 18:30:18 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/cst352/labs/lab2/777/index.php on line 26
